node_a,node_b,weight,type,name
Parking_77,Window_010,3.472071,access,Parking_77--Window_010
Parking_77,Window_009,2.182508,access,Parking_77--Window_009
Parking_77,Door_108,2.798569,access,Parking_77--Door_108
Parking_77,Window_008,1.901084,access,Parking_77--Window_008
Parking_91,Door_086,2.798483,access,Parking_91--Door_086
Parking_91,Door_080,2.798484,access,Parking_91--Door_080
Storage_room_002,Door_022,1.859503,access,Storage_room_002--Door_022
Parking_82,Door_096,2.798469,access,Parking_82--Door_096
Parking_81,Door_097,2.798469,access,Parking_81--Door_097
Parking_93,Window_019,3.830854,access,Parking_93--Window_019
Parking_93,Door_078,2.798484,access,Parking_93--Door_078
Parking_93,Window_020,1.901165,access,Parking_93--Window_020
Parking_93,Door_084,2.798483,access,Parking_93--Door_084
Parking_93,Window_021,2.182417,access,Parking_93--Window_021
Parking_92,Door_079,2.798484,access,Parking_92--Door_079
Parking_92,Door_085,2.798483,access,Parking_92--Door_085
Parking_76,Door_109,2.798569,access,Parking_76--Door_109
Parking2,Window_006,3.258195,access,Parking2--Window_006
Parking2,Window_005,2.584499,access,Parking2--Window_005
Parking2,Door_170,2.780458,access,Parking2--Door_170
Parking_74,Door_111,3.250119,access,Parking_74--Door_111
Parking_78,Door_100,2.798469,access,Parking_78--Door_100
Parking_59,Door_107,2.798483,access,Parking_59--Door_107
Parking_86,Door_091,2.798483,access,Parking_86--Door_091
Parking_79,Door_099,2.798469,access,Parking_79--Door_099
011_community_hall,Door_027,4.253053,access,011_community_hall--Door_027
011_community_hall,Door_029,6.940802,access,011_community_hall--Door_029
011_community_hall,Door_032,4.048109,access,011_community_hall--Door_032
011_community_hall,Door_030,5.08452,access,011_community_hall--Door_030
011_community_hall,Door_031,3.660896,access,011_community_hall--Door_031
011_community_hall,Door_028,5.979962,access,011_community_hall--Door_028
011_community_hall,Window_007,7.604892,access,011_community_hall--Window_007
Parking_89,Door_082,2.798484,access,Parking_89--Door_082
Parking_89,Door_088,2.798483,access,Parking_89--Door_088
Parking_85,Window_015,3.83084,access,Parking_85--Window_015
Parking_85,Door_093,2.798469,access,Parking_85--Door_093
Parking_85,Window_016,1.901155,access,Parking_85--Window_016
Parking_85,Window_018,3.326707,access,Parking_85--Window_018
Parking_85,Window_017,2.182428,access,Parking_85--Window_017
Parking_95,Door_082,2.798483,access,Parking_95--Door_082
Parking_95,Window_029,3.524564,access,Parking_95--Window_029
Parking_95,Window_028,2.648735,access,Parking_95--Window_028
Parking_80,Door_098,2.798469,access,Parking_80--Door_098
Parking3,Door_168,2.794945,access,Parking3--Door_168
Parking3,Window_005,3.358812,access,Parking3--Window_005
Parking3,Window_004,2.593633,access,Parking3--Window_004
Parking_84,Door_094,2.798469,access,Parking_84--Door_094
011_BAthroom_community_hall_01,Door_028,1.260377,access,011_BAthroom_community_hall_01--Door_028
Parking_66,Window_011,3.203301,access,Parking_66--Window_011
Parking_66,Window_013,2.468744,access,Parking_66--Window_013
Parking_66,Window_012,1.387882,access,Parking_66--Window_012
Parking_66,Door_092,3.35434,access,Parking_66--Door_092
Parking_64,Door_102,2.798483,access,Parking_64--Door_102
Parking4,Window_003,2.600092,access,Parking4--Window_003
Parking4,Door_166,2.804921,access,Parking4--Door_166
Parking4,Window_004,3.377559,access,Parking4--Window_004
Parking_75,Door_110,2.798569,access,Parking_75--Door_110
Parking_94,Door_083,2.798483,access,Parking_94--Door_083
Parking_94,Window_029,2.648735,access,Parking_94--Window_029
Parking_61,Door_105,2.798483,access,Parking_61--Door_105
Parking_87,Door_090,2.798483,access,Parking_87--Door_090
Parking_90,Door_081,2.798484,access,Parking_90--Door_081
Parking_90,Door_087,2.798483,access,Parking_90--Door_087
Parking_98,Window_025,2.648735,access,Parking_98--Window_025
Parking_98,Window_026,3.524564,access,Parking_98--Window_026
Parking_98,Door_079,2.798483,access,Parking_98--Door_079
Parking_97,Window_027,3.524563,access,Parking_97--Window_027
Parking_97,Door_080,2.798483,access,Parking_97--Door_080
Parking_97,Window_026,2.648735,access,Parking_97--Window_026
Parking_72,Door_114,3.344833,access,Parking_72--Door_114
011_BAthroom_community_hall_02,Door_027,1.307233,access,011_BAthroom_community_hall_02--Door_027
Parking_63,Door_103,2.798483,access,Parking_63--Door_103
05_FAmily_Room,Door_024,3.506987,access,05_FAmily_Room--Door_024
05_FAmily_Room,Door_023,7.003902,access,05_FAmily_Room--Door_023
05_FAmily_Room,Window_001,9.551702,access,05_FAmily_Room--Window_001
05_FAmily_Room,Door_025,3.095808,access,05_FAmily_Room--Door_025
Parking_62,Door_104,2.798483,access,Parking_62--Door_104
ELECTRICAL_SUBSTATION,Door_018,2.568102,access,ELECTRICAL_SUBSTATION--Door_018
ELECTRICAL_SUBSTATION,Door_019,2.692198,access,ELECTRICAL_SUBSTATION--Door_019
